dt_abertura;Year;Month;Day
11/02/1944;1944;fev;11
12/02/1944;1944;fev;12
13/02/1944;1944;fev;13
14/02/1944;1944;fev;14
15/02/1944;1944;fev;15
16/02/1944;1944;fev;16
17/02/1944;1944;fev;17
18/02/1944;1944;fev;18
19/02/1944;1944;fev;19
20/02/1944;1944;fev;20
21/02/1944;1944;fev;21
22/02/1944;1944;fev;22
23/02/1944;1944;fev;23
24/02/1944;1944;fev;24
25/02/1944;1944;fev;25
26/02/1944;1944;fev;26
27/02/1944;1944;fev;27
28/02/1944;1944;fev;28
29/02/1944;1944;fev;29
01/03/1944;1944;mar;1
02/03/1944;1944;mar;2
03/03/1944;1944;mar;3
04/03/1944;1944;mar;4
05/03/1944;1944;mar;5
06/03/1944;1944;mar;6
07/03/1944;1944;mar;7
08/03/1944;1944;mar;8
09/03/1944;1944;mar;9
10/03/1944;1944;mar;10
11/03/1944;1944;mar;11
12/03/1944;1944;mar;12
13/03/1944;1944;mar;13
14/03/1944;1944;mar;14
15/03/1944;1944;mar;15
16/03/1944;1944;mar;16
17/03/1944;1944;mar;17
18/03/1944;1944;mar;18
19/03/1944;1944;mar;19
20/03/1944;1944;mar;20
21/03/1944;1944;mar;21
22/03/1944;1944;mar;22
23/03/1944;1944;mar;23
24/03/1944;1944;mar;24
25/03/1944;1944;mar;25
26/03/1944;1944;mar;26
27/03/1944;1944;mar;27
28/03/1944;1944;mar;28
29/03/1944;1944;mar;29
30/03/1944;1944;mar;30
31/03/1944;1944;mar;31
01/04/1944;1944;abr;1
02/04/1944;1944;abr;2
03/04/1944;1944;abr;3
04/04/1944;1944;abr;4
05/04/1944;1944;abr;5
06/04/1944;1944;abr;6
07/04/1944;1944;abr;7
08/04/1944;1944;abr;8
09/04/1944;1944;abr;9
10/04/1944;1944;abr;10
11/04/1944;1944;abr;11
12/04/1944;1944;abr;12
13/04/1944;1944;abr;13
14/04/1944;1944;abr;14
15/04/1944;1944;abr;15
16/04/1944;1944;abr;16
17/04/1944;1944;abr;17
18/04/1944;1944;abr;18
19/04/1944;1944;abr;19
20/04/1944;1944;abr;20
21/04/1944;1944;abr;21
22/04/1944;1944;abr;22
23/04/1944;1944;abr;23
24/04/1944;1944;abr;24
25/04/1944;1944;abr;25
26/04/1944;1944;abr;26
27/04/1944;1944;abr;27
28/04/1944;1944;abr;28
29/04/1944;1944;abr;29
30/04/1944;1944;abr;30
01/05/1944;1944;mai;1
02/05/1944;1944;mai;2
03/05/1944;1944;mai;3
04/05/1944;1944;mai;4
05/05/1944;1944;mai;5
06/05/1944;1944;mai;6
07/05/1944;1944;mai;7
08/05/1944;1944;mai;8
09/05/1944;1944;mai;9
10/05/1944;1944;mai;10
11/05/1944;1944;mai;11
12/05/1944;1944;mai;12
13/05/1944;1944;mai;13
14/05/1944;1944;mai;14
15/05/1944;1944;mai;15
16/05/1944;1944;mai;16
17/05/1944;1944;mai;17
18/05/1944;1944;mai;18
19/05/1944;1944;mai;19
20/05/1944;1944;mai;20
21/05/1944;1944;mai;21
22/05/1944;1944;mai;22
23/05/1944;1944;mai;23
24/05/1944;1944;mai;24
25/05/1944;1944;mai;25
26/05/1944;1944;mai;26
27/05/1944;1944;mai;27
28/05/1944;1944;mai;28
29/05/1944;1944;mai;29
30/05/1944;1944;mai;30
31/05/1944;1944;mai;31
01/06/1944;1944;jun;1
02/06/1944;1944;jun;2
03/06/1944;1944;jun;3
04/06/1944;1944;jun;4
05/06/1944;1944;jun;5
06/06/1944;1944;jun;6
07/06/1944;1944;jun;7
08/06/1944;1944;jun;8
09/06/1944;1944;jun;9
10/06/1944;1944;jun;10
11/06/1944;1944;jun;11
12/06/1944;1944;jun;12
13/06/1944;1944;jun;13
14/06/1944;1944;jun;14
15/06/1944;1944;jun;15
16/06/1944;1944;jun;16
17/06/1944;1944;jun;17
18/06/1944;1944;jun;18
19/06/1944;1944;jun;19
20/06/1944;1944;jun;20
21/06/1944;1944;jun;21
22/06/1944;1944;jun;22
23/06/1944;1944;jun;23
24/06/1944;1944;jun;24
25/06/1944;1944;jun;25
26/06/1944;1944;jun;26
27/06/1944;1944;jun;27
28/06/1944;1944;jun;28
29/06/1944;1944;jun;29
30/06/1944;1944;jun;30
01/07/1944;1944;jul;1
02/07/1944;1944;jul;2
03/07/1944;1944;jul;3
04/07/1944;1944;jul;4
05/07/1944;1944;jul;5
06/07/1944;1944;jul;6
07/07/1944;1944;jul;7
08/07/1944;1944;jul;8
09/07/1944;1944;jul;9
10/07/1944;1944;jul;10
11/07/1944;1944;jul;11
12/07/1944;1944;jul;12
13/07/1944;1944;jul;13
14/07/1944;1944;jul;14
15/07/1944;1944;jul;15
16/07/1944;1944;jul;16
17/07/1944;1944;jul;17
18/07/1944;1944;jul;18
19/07/1944;1944;jul;19
20/07/1944;1944;jul;20
21/07/1944;1944;jul;21
22/07/1944;1944;jul;22
23/07/1944;1944;jul;23
